id,name,slug,sku,gtin,price,compare_at_price,stock,short_description,description,country,region,grape,wine_type,classification,brand,vintage,wine_style,serving_temp,glass_type,decanting,harmonization,visual_notes,nose_notes,palate_notes,vivino_rating,rating,image_url,gallery,video_url,category_id,featured,best_seller,is_active,product_type,color,harmonizacao,selo,alcohol_content,aging,created_at,updated_at
b2aca18f-5b46-432b-a6d4-1850fe4728a5,Bulgária Inesquecível 3 Garrafas,bulgaria-inesquecivel-3-garrafas,VIN1304,,383.39,,10,PaísBulgáriaTipoTintoClassificaçãoSeco,"Mais detalhes
 

 Descrição
 

 

Vinho Tinto Melnik 55 750ml

Elaborado com as uvas Melnik, o Vinho Logodaj Melnik 55 é um vinho búlgaro proveniente da região do Struma Valley, produzido pela Vinícola Logodaj. A Siroka Melniska, mais conhecida por Melnik, é uma casta autóctone búlgara. Dá origem a vinhos com ótimo potencial de guarda, que são frequentemente comparados aos famigerados Châteauneuf-du-Pape, pelo seu caráter estruturado e especiado. Eram considerados os favoritos do primeiro-ministro britânico Winston Churchill que encomendava anualmente para sua adega mais de 500 litros de vinhos feitos exclusivamente com esta variedade.

Composto pelas uvas: Melnik

Vinho Tinto Megalit Merlot Thracian Treasure 750ml

Cor vermelho rubi profundo. Aroma de frutas negras maduras, especiarias e leve toque de baunilha. Paladar estruturado, com taninos macios e final persistente.
Harmoniza com carnes grelhadas, massas ao molho vermelho e queijos semiduros.

Composto pelas uvas: Merlot

Vinho Tinto Kaba Gayda Yamantiev's 750ml

Cor rubi com tons suaves. Aroma de frutas vermelhas maduras (groselha preta, ameixa, cereja)com notas apimentadas intrigantes. Sabor suave e harmonioso, com corpo médio, taninos macios e final longo e macio. Harmoniza com massas salsichas, terrines e pratos leves de carne vermelha. Ideal para gastronomia informal ou refeições cotidianas com um toque especial.

Composto pelas uvas: Merlot, Cabernet Sauvignon, Rubin",Bulgária,,,Tinto,Seco,Várias Marcas,,,,,,,,,,,5,/storage/v1/object/public/product-images/VIN1304_1.jpg,/storage/v1/object/public/product-images/VIN1304_3.png|/storage/v1/object/public/product-images/VIN1304_4.jpg|/storage/v1/object/public/product-images/VIN1304_5.png,,,false,false,true,kit,tinto,Carnes vermelhas,,,,2026-06-23T21:33:08.992509+00:00,2026-06-23T21:33:08.992509+00:00
f85e0577-5568-4e92-9216-de9acc5c0784,Cava Don Román Brut 750ml,cava-don-roman-brut-750ml,97281-5pjw3RJlWV32lQq,,62.93,,999,"A história da bodega familiar Marqués de Tomares começa em 1910, quando Don Román Montaña começou a se dedicar à elaboração e amadurecimento dos vinhos. Atualmente a vinícola é comandada pelos netos do fundador. Localizada em Fuenmayor, na região de Rioja Alta, norte da Espanha, a Marqués de Tomares é resultado de muito esforço e dedicação para sempre produzir vinhos de qualidade.","Elaborado pelo método tradicional, apresenta cor palha com perlage (bolhas) persistente. Possui aromas florais e de mel. Em boca é seco, redondo, fresco e equilibrado, com boa persistência e acidez agradável.

Amadurecimento: Fermentação entre 3 e 4 meses, espumatização tradicional (champenoise) e crianza de 33 meses.
Harmonização: Ideal para acompanhar aperitivos, frutos do mar e peixes.
Teor alcoólico: 11,5% 

Região: Penedès
Produtor: Marqués de Tomares

Uva: Macabeo, Xarel-lo, Parellada",,Penedès,,,,Marqués de Tomares,,,,,,"Ideal para acompanhar aperitivos, frutos do mar e peixes.",,,,,,/storage/v1/object/public/product-images/cava-don-roman-brut-750ml.jpg,,,,false,false,true,vinho,na,Ideal para acompanhar aperitivos|frutos do mar e peixes.,,"11,5%",,2026-07-11T22:51:34.750142+00:00,2026-07-11T22:51:34.750142+00:00
bbbefe76-661a-49d3-9062-3a985361a701,Champagne Dom Perignon Luminous Vintage 750ml,champagne-dom-perignon-luminous-vintage-750ml,VIN1219,3185370737439,1849.97,,10,"<table class=""caracteristicas-vinho""><tr><th>País</th><td>França</td></tr><tr><th>Região</th><td>Champagne</td></tr><tr><th>Produtor</th><td>Dom Pérignon</td></tr><tr><th>Tipo</th><td>Branco</td></tr><tr><th>Classificação</th><td>Brut</td></tr><tr><th>Envelhecimento</th><td>Mínimo de 8 anos em caves subterrâneas</td></tr><tr><th>Uva</th><td>ChardonnayPinot Noir</td></tr><tr><th>Teor Alcoólico</th><td>12,5%</td></tr><tr><th>Temperatura de Serviço</th><td>10ºC</td></tr><tr><th>Visual</th><td>Persistente, refinada e luminosa, como a própria garrafa.</td></tr><tr><th>Aroma</th><td>Frutas brancas maduras, flor de laranjeira, brioche, notas de amêndoas e baunilha.</td></tr><tr><th>Paladar</th><td>Cremoso, preciso e elegante. Apresenta sabores cítricos maduros, frutas secas, toques minerais e um equilíbrio surpreendente.</td></tr><tr><th>Harmonização</th><td>Entradas e petiscos: Ostras, caviar, carpaccio de vieiras. Pratos principais: Lagosta grelhada, risoto de limão-siciliano com camarões, atum selado. Sobremesas: Tarte de frutas amarelas, crème brûlée, macarons finos.</td></tr></table>","<div class=""title-ctn""><h3 class=""pre-title"">
                                Mais detalhes
                            </h3><h2 class=""bg-title"">
                                Descrição
                            </h2></div> <div class=""content""><div class=""description-ctn""> <p style=""text-align: center;"">O Champagne Dom Pérignon Brut Luminous 750ml é a versão iluminada do ícone máximo da arte da Champagne. Com o mesmo conteúdo refinado, complexo e sofisticado da versão tradicional, esta edição se destaca por seu rótulo com iluminação LED que brilha no escuro — ideal para eventos noturnos, comemorações luxuosas e ocasiões que pedem impacto visual e memorável.<br/>Elaborado apenas em safras excepcionais, Dom Pérignon é produzido com as uvas mais nobres da região de Champagne, seguindo um processo artesanal que reflete o legado de Dom Pierre Pérignon, o monge visionário do século XVII que buscava criar ""o melhor vinho do mundo"". A versão Luminous une o luxo sensorial ao visual, conquistando desde conhecedores exigentes até celebridades e festas exclusivas.</p>
<p style=""text-align: center;""></p>
<p style=""text-align: center;""><strong>Composto pela uva: Chardonnay e Pinot Noir</strong></p>
<address style=""text-align: center;""><span style=""font-size: 8pt;""> </span></address><address style=""text-align: center;""><span style=""font-size: 8pt;""><em>Imagem meramente ilustrativa. A safra apresentada no rótulo poderá não corresponder ao ano de fabricação.</em></span></address> </div></div>",França,Champagne,ChardonnayPinot Noir,Branco,Brut,Dom Pérignon,,,10ºC,,,"Entradas e petiscos: Ostras, caviar, carpaccio de vieiras. Pratos principais: Lagosta grelhada, risoto de limão-siciliano com camarões, atum selado. Sobremesas: Tarte de frutas amarelas, crème brûlée, macarons finos.","Persistente, refinada e luminosa, como a própria garrafa.","Frutas brancas maduras, flor de laranjeira, brioche, notas de amêndoas e baunilha.","Cremoso, preciso e elegante. Apresenta sabores cítricos maduros, frutas secas, toques minerais e um equilíbrio surpreendente.",,,/storage/v1/object/public/product-images/VIN1219_1.png,/storage/v1/object/public/product-images/VIN1219_2.png|/storage/v1/object/public/product-images/VIN1219_3.png,,,false,false,true,espumante,branco,Entradas e petiscos: Ostras|caviar|carpaccio de vieiras. Pratos principais: Lagosta grelhada|risoto de limão-siciliano com camarões|atum selado. Sobremesas: Tarte de frutas amarelas|crème brûlée|macarons finos.,,"12,5%",Mínimo de 8 anos em caves subterrâneas,2026-06-23T21:33:08.02742+00:00,2026-06-23T21:33:08.02742+00:00
d4966947-06d9-493f-aee0-ba10620fae1c,Champagne Dom Pérignon Vintage Brut 750ml,dom-perignon-vintage-brut,VIN380,3185370695685,1679.06,,10,"PaísFrançaRegiãoChampagneProdutorDom PérignonTipoChampagneClassificaçãoBrutEnvelhecimento8 anos no processo Champenoise.UvaChardonnayPinot NoirTeor Alcoólico12,5%Temperatura de Serviço6 a 8ºCVisualAmarelo-palha.AromaDe imediato, o buquê irradia a doçura de fruta tropical, manga verde, melão e abacaxi. Em seguida, passa para notas mais moderadas: a casca de laranja e a bruma de tangerina. A medida que o vinho respira, a sua frescura revela-se. É a floração depois da chuva. Uma sensação tátil de peônia, jasmim e lilás.PaladarO vinho depressa faz sentir a sua presença cheia, rica e maciça. A maturação suculenta domina, e uma sensação tátil segue-se à experiência aromática. Na boca é generoso, firme e assertivo. Depois adensa-se, libertando vibrações apimentadas de especiarias. A energia perdura até um final salino cintilante.HarmonizaçãoPeixes e Frutos do Mar. Massas e Risotos. Carnes Brancas.","Mais detalhes
 

 Descrição
 

 Fazer “o melhor vinho do mundo” era o objetivo de Dom Pierre Pérignon quando assumiu a Abadia Beneditina de Hautvillers na região de Champagne na França em 1668. Ele dedicou sua vida em busca da perfeição e por isso ficou reconhecido como o criador das técnicas e da filosofia do champagne. Três séculos mais tarde essa filosofia continua na Maison Dom Pérignon com um vinho safrado e criado somente em anos de colheitas excepcionais.

Dom Perignon é produzida a partir das uvas Chardonnay e Pinot Noir dos vinhedos selecionados entre os melhores (crus) da região. Elaborada unicamente nos anos excepcionais, Dom Pérignon é uma busca constante do sutil equilíbrio entre a perptuação do estilo da Maison e a particularidade de uma colheita.

Composto pelas uvas: Pinot Noir, Bivarietais (2 uvas) e Chardonnay

 Imagem meramente ilustrativa. A safra apresentada no rótulo poderá não corresponder ao ano de fabricação.",França,Champagne,ChardonnayPinot Noir,Champagne,Brut,Dom Pérignon,,,6 a 8ºC,,,Peixes e Frutos do Mar. Massas e Risotos. Carnes Brancas.,Amarelo-palha.,"De imediato, o buquê irradia a doçura de fruta tropical, manga verde, melão e abacaxi. Em seguida, passa para notas mais moderadas: a casca de laranja e a bruma de tangerina. A medida que o vinho respira, a sua frescura revela-se. É a floração depois da chuva. Uma sensação tátil de peônia, jasmim e lilás.","O vinho depressa faz sentir a sua presença cheia, rica e maciça. A maturação suculenta domina, e uma sensação tátil segue-se à experiência aromática. Na boca é generoso, firme e assertivo. Depois adensa-se, libertando vibrações apimentadas de especiarias. A energia perdura até um final salino cintilante.",,,/storage/v1/object/public/product-images/VIN380_1.jpg,/storage/v1/object/public/product-images/VIN380_2.jpg|/storage/v1/object/public/product-images/VIN380_3.jpg,,,false,false,true,espumante,branco,Peixes e Frutos do Mar. Massas e Risotos. Carnes Brancas.,,"12,5%",8 anos no processo Champenoise.,2026-06-23T21:33:08.02742+00:00,2026-06-23T21:33:08.02742+00:00
35f368c0-2a43-4059-bab0-295b9986714a,Champagne Moët & Chandon Imperial Brut 750ml,moet-chandon-imperial-brut,VIN374,3185370001233,373.67,,10,"PaísFrançaRegiãoChampagneProdutorMoët & ChandonTipoChampagneClassificaçãoBrutEnvelhecimento24 meses em cave.UvaChardonnayPinot MeunierPinot NoirTeor Alcoólico12%Temperatura de Serviço6 a 8ºCVisualAmarelo palha dourado com reflexos esverdeados.AromaA intensidade picante da maçã verde e das frutas cítricas, o frescor de nuances minerais e flores, a elegância das notas maduras de brioche, cereais e nozes frescas.PaladarA deliciosa generosidade das frutas brancas (pera, maçãs e pêssego), a carícia sedutora de borbulhas delicadas, a leve vivacidade de frutas cítricas e nuances de groselha.HarmonizaçãoPeixes e Frutos do Mar. Carnes Brancas. Massas e Risotos.","Mais detalhes
 

 Descrição
 

 Conhecida por suas conquistas inovações e por seu lendário espírito pioneiro é a Maison que apresentou o champagne ao mundo. Sinônimo das mais veneradas tradições e dos mais modernos prazeres Moët & Chandon vem celebrando por mais de 270 anos momentos triunfantes com grandiosidade e generosidade.

Composto pelas uvas: Chardonnay, Pinot Meunier, Pinot Noir

 Imagem meramente ilustrativa. A safra apresentada no rótulo poderá não corresponder ao ano de fabricação.",França,Champagne,ChardonnayPinot MeunierPinot Noir,Champagne,Brut,Moët & Chandon,,,6 a 8ºC,,,Peixes e Frutos do Mar. Carnes Brancas. Massas e Risotos.,Amarelo palha dourado com reflexos esverdeados.,"A intensidade picante da maçã verde e das frutas cítricas, o frescor de nuances minerais e flores, a elegância das notas maduras de brioche, cereais e nozes frescas.","A deliciosa generosidade das frutas brancas (pera, maçãs e pêssego), a carícia sedutora de borbulhas delicadas, a leve vivacidade de frutas cítricas e nuances de groselha.",,5,/storage/v1/object/public/product-images/VIN374_1.jpg,/storage/v1/object/public/product-images/VIN374_2.jpg,,,false,false,true,espumante,branco,Peixes e Frutos do Mar. Carnes Brancas. Massas e Risotos.,,12%,24 meses em cave.,2026-06-23T21:33:08.02742+00:00,2026-06-23T21:33:08.02742+00:00
50e7d156-01f2-4175-a31a-316cb24fd270,Champagne Moët & Chandon Imperial Brut Rosé 750ml,moet-chandon-imperial-brut-rose,VIN375,,434.18,,10,"PaísFrançaRegiãoChampagneProdutorMoët & ChandonTipoChampagneClassificaçãoBrutEnvelhecimentoAmadurecimento de 21 meses.UvaChardonnayPinot MeunierPinot NoirTeor Alcoólico12%Temperatura de Serviço8ºCVisualColoração rosa com toques âmbar.AromaSeu aroma é um vívido e intenso buquê de frutas vermelhas como morango, framboesa e cereja, nuances florais de rosas e um leve toque apimentado.PaladarO sabor apresenta a intensidade suculenta e persistente das frutas vermelhas com a firmeza do pêssego, aliado ao frescor de uma sutil nota de menta.HarmonizaçãoHarmoniza com carpaccio de carne ou atum, peixes e carnes em geral, torta de morango ou salada de fruta com frutas vermelhas.","Mais detalhes
 

 Descrição
 

 Conhecida por suas conquistas inovações e por seu lendário espírito pioneiro é a Maison que apresentou o champagne ao mundo. Sinônimo das mais veneradas tradições e dos mais modernos prazeres Moët & Chandon vem celebrando por mais de 270 anos momentos triunfantes com grandiosidade e generosidade.

Composto pelas uvas: Chardonnay, Pinot Meunier, Pinot Noir

 Imagem meramente ilustrativa. A safra apresentada no rótulo poderá não corresponder ao ano de fabricação.",França,Champagne,ChardonnayPinot MeunierPinot Noir,Champagne,Brut,Moët & Chandon,,,8ºC,,,"Harmoniza com carpaccio de carne ou atum, peixes e carnes em geral, torta de morango ou salada de fruta com frutas vermelhas.",Coloração rosa com toques âmbar.,"Seu aroma é um vívido e intenso buquê de frutas vermelhas como morango, framboesa e cereja, nuances florais de rosas e um leve toque apimentado.","O sabor apresenta a intensidade suculenta e persistente das frutas vermelhas com a firmeza do pêssego, aliado ao frescor de uma sutil nota de menta.",,,/storage/v1/object/public/product-images/VIN375_1.jpg,/storage/v1/object/public/product-images/VIN375_2.jpg,,,false,false,true,espumante,rose,Harmoniza com carpaccio de carne ou atum|peixes e carnes em geral|torta de morango ou salada de fruta com frutas vermelhas.,,12%,Amadurecimento de 21 meses.,2026-06-23T21:33:08.02742+00:00,2026-06-23T21:33:08.02742+00:00
198a1d8f-2d3b-405c-a666-5d0f15e84ab8,Champagne Perrier Jouet Blanc de Blancs 750ml,champagne-perrier-jouet-blanc-de-blancs-750ml,VIN1065,3113889000218,426.2,,10,"PaísFrançaRegiãoChampagneProdutorPERRIER-JOUETTipoEspumanteClassificaçãoBrutUvaChardonnayTeor Alcoólico12%Temperatura de Serviço6 a 8ºCVisualCor dourada pálida com um leve toque de verdeAromaApresenta Notas de Flores BrancasPaladarPerfumado, Com uma Nota Mineral Intensa e um Final LongoHarmonizaçãoPeixe, Marisco e Crustáceos, chocolate e sobremesas","Mais detalhes
 

 Descrição
 

                                                                                               A chegada de Perrier-Jouët Blanc de Blancs em 2017 completou a coleção clássica com um cuvée de uva única destinado a se tornar a expressão duradoura da Maison.

           O savoir-faire de Perrier-Jouët em revelar a quintessência do Chardonnay. Na verdade, perpetua uma tradição que remonta a cerca de cem anos: a Maison introduziu seus primeiros cuvées de Chardonnay na década de 1920, muito antes de tais champanhes se tornarem conhecidos como “Blanc de Blancs”.

Composto pelas uvas:  CHARDONNAY

 Imagem meramente ilustrativa. A safra apresentada no rótulo poderá não corresponder ao ano de fabricação.",França,Champagne,Chardonnay,Espumante,Brut,PERRIER-JOUET,,,6 a 8ºC,,,"Peixe, Marisco e Crustáceos, chocolate e sobremesas",Cor dourada pálida com um leve toque de verde,Apresenta Notas de Flores Brancas,"Perfumado, Com uma Nota Mineral Intensa e um Final Longo",,,/storage/v1/object/public/product-images/VIN1065_1.jpg,/storage/v1/object/public/product-images/VIN1065_2.jpg,,,false,false,true,espumante,branco,Peixe|Marisco e Crustáceos|chocolate e sobremesas,,12%,,2026-06-23T21:33:08.02742+00:00,2026-06-23T21:33:08.02742+00:00
3fc7acba-4c17-4fba-ba2a-578e8d9b07d9,Champagne Ruinart Blanc de Blancs Brut 750ml,champagne-ruinart-blanc-de-blancs-brut-750ml,VIN1217,3185370712009,568.51,,10,"PaísFrançaRegiãoChampagneProdutorMaison RuinartTipoBrancoClassificaçãoBrutEnvelhecimento24 meses em contato com as levedurasUvaChardonnayTeor Alcoólico12,5%Temperatura de Serviço6 a 8ºCVisualAmarelo palha, Reflexos esverdeadosAromaFrutas frescas, Limão, Pêssego, Abacaxi, Floral, Especiarias.PaladarEquilibrado, Estruturado, Refrescante, Notas de frutas cítricas, Agradável.HarmonizaçãoPenne à carbonara e lasanha de camarões temperados com limão e capim cidreira, gratinada com queijo serrano fresco.","Mais detalhes
 

 Descrição
 

 Em 1º de setembro de 1729, em Reims, no coração da região de Champagne, Nicolas Ruinart redigiu o estatuto de fundação da Maison Ruinart, criando a primeira empresa produtora de champanhe do mundo. Isso deu origem a um empreendimento que continua a florescer e prosperar quase trezentos anos depois.

Suas caves subterrâneas, clássicas de Champagne, estão entre as mais profundas da região, com mais de 38 metros de profundidade. Essas antigas adegas de giz branco são Patrimônio Mundial da UNESCO.

Composto pela uva: Chardonnay

 Imagem meramente ilustrativa. A safra apresentada no rótulo poderá não corresponder ao ano de fabricação.",França,Champagne,Chardonnay,Branco,Brut,Maison Ruinart,,,6 a 8ºC,,,"Penne à carbonara e lasanha de camarões temperados com limão e capim cidreira, gratinada com queijo serrano fresco.","Amarelo palha, Reflexos esverdeados","Frutas frescas, Limão, Pêssego, Abacaxi, Floral, Especiarias.","Equilibrado, Estruturado, Refrescante, Notas de frutas cítricas, Agradável.",,,/storage/v1/object/public/product-images/VIN1217_1.png,/storage/v1/object/public/product-images/VIN1217_2.png|/storage/v1/object/public/product-images/VIN1217_3.png|/storage/v1/object/public/product-images/VIN1217_4.png|/storage/v1/object/public/product-images/VIN1217_5.png,,,false,false,true,espumante,branco,Penne à carbonara e lasanha de camarões temperados com limão e capim cidreira|gratinada com queijo serrano fresco.,,"12,5%",24 meses em contato com as leveduras,2026-06-23T21:33:08.02742+00:00,2026-06-23T21:33:08.02742+00:00
af5d30ea-2057-4544-a082-3fbee020fd65,Champagne Ruinart Brut Rosé 750ml,champagne-ruinart-brut-rose-750ml,VIN1218,3185370712016,569.18,,10,"PaísFrançaRegiãoChampagneProdutorMaison RuinartTipoRoséClassificaçãoBrutEnvelhecimentoAmadurecimento durante 24 meses na adega.UvaChardonnayPinot NoirTeor Alcoólico12,5%VisualExibe uma sublime cor dourada e rosa com um toque de coral, acompanhado de borbulhas extremamente finas que sobem ao topo da taça em linhas finas e firmes.AromaÉ fino, sutil e fresco, dominado por aromas de cereja e framboesas frescas recém colhidas.PaladarBastante balanceado, frutado, macio e refrescante ao paladar.HarmonizaçãoPeixes e Frutos do Mar. Carnes Brancas. Sashimi de atum, lagosta gratinada.","Mais detalhes
 

 Descrição
 

 Em 1º de setembro de 1729, em Reims, no coração da região de Champagne, Nicolas Ruinart redigiu o estatuto de fundação da Maison Ruinart, criando a primeira empresa produtora de champanhe do mundo. Isso deu origem a um empreendimento que continua a florescer e prosperar quase trezentos anos depois.

Suas caves subterrâneas, clássicas de Champagne, estão entre as mais profundas da região, com mais de 38 metros de profundidade. Essas antigas adegas de giz branco são Patrimônio Mundial da UNESCO.

Composto pela uva: Chardonnay, Pinot Noir

 Imagem meramente ilustrativa. A safra apresentada no rótulo poderá não corresponder ao ano de fabricação.",França,Champagne,ChardonnayPinot Noir,Rosé,Brut,Maison Ruinart,,,,,,"Peixes e Frutos do Mar. Carnes Brancas. Sashimi de atum, lagosta gratinada.","Exibe uma sublime cor dourada e rosa com um toque de coral, acompanhado de borbulhas extremamente finas que sobem ao topo da taça em linhas finas e firmes.","É fino, sutil e fresco, dominado por aromas de cereja e framboesas frescas recém colhidas.","Bastante balanceado, frutado, macio e refrescante ao paladar.",,,/storage/v1/object/public/product-images/VIN1218_1.png,/storage/v1/object/public/product-images/VIN1218_2.png|/storage/v1/object/public/product-images/VIN1218_3.png|/storage/v1/object/public/product-images/VIN1218_4.png|/storage/v1/object/public/product-images/VIN1218_5.png|/storage/v1/object/public/product-images/VIN1218_6.png,,,false,false,true,espumante,rose,Peixes e Frutos do Mar. Carnes Brancas. Sashimi de atum|lagosta gratinada.,,"12,5%",Amadurecimento durante 24 meses na adega.,2026-06-23T21:33:08.02742+00:00,2026-06-23T21:33:08.02742+00:00
b9be5730-37db-489f-9c3e-d9e76dcf6803,Champagne Veuve Clicquot Brut 750ml,veuve-clicquot-brut,VIN371,3049610004104,412.24,,10,"PaísFrançaRegiãoChampagneProdutorVeuve ClicquotTipoChampagneClassificaçãoBrutUvaChardonnayPinot MeunierPinot NoirTeor Alcoólico12%Temperatura de Serviço8ºCVisualCor amarela dourada.AromaSeu aroma, intenso e agradável, tem notas frutadas e de brioche.PaladarO seu paladar é típico do Veuve Clicquot Yellow Label, com uma sinfonia de sabores das frutas pêra e limão.HarmonizaçãoAcompanha perfeitamente peixes delicados de água doce ou salgada.","Mais detalhes
 

 Descrição
 

 Em 1805, Madame Clicquot, uma jovem viúva de 27 anos, assumiu as rédeas da Casa fundada em Reims em 1772 e tornou-se uma das primeiras empresárias da história. Ousada e visionária, ela tornou seu champanhe conhecido pelo mundo Know How & Craftsmanship: Por mais de 200 anos, a House manteve-se fiel ao seu lema: ‘Apenas uma qualidade, a melhor’.

Composto pelas uvas: Chardonnay, Pinot Meunier e Pinot Noir

Premiações 🥇

90 Wine Spectator
90 Vinous Antonio Galloni
90 Wine & Spirits Magazine

 Imagem meramente ilustrativa. A safra apresentada no rótulo poderá não corresponder ao ano de fabricação.",França,Champagne,ChardonnayPinot MeunierPinot Noir,Champagne,Brut,Veuve Clicquot,,,8ºC,,,Acompanha perfeitamente peixes delicados de água doce ou salgada.,Cor amarela dourada.,"Seu aroma, intenso e agradável, tem notas frutadas e de brioche.","O seu paladar é típico do Veuve Clicquot Yellow Label, com uma sinfonia de sabores das frutas pêra e limão.",,,/storage/v1/object/public/product-images/VIN371_1.jpg,/storage/v1/object/public/product-images/VIN371_2.jpg,,,false,false,true,espumante,branco,Acompanha perfeitamente peixes delicados de água doce ou salgada.,,12%,,2026-06-23T21:33:08.02742+00:00,2026-06-23T21:33:08.02742+00:00
